Data Source,World Development Indicators,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Last Updated Date,2/17/2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Comoros,COM,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.74504202,,,,,5.826702967,,,,,5.885471186,,,,,6.344329505,,,,,6.648178507,6.734685805,,6.913008187,,
Cabo Verde,CPV,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.92002519,,,,,41.86350726,,,,,41.79697144,,,,,39.06525464,,,,,37.28670164,39.01900754,,43.06526502,,
Costa Rica,CRI,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.079695815,,,,,8.410381945,,,,,8.710418626,,,,,9.363152176,,,,,8.983530618,9.065632929,,9.308892061,,
Caribbean small states,CSS,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.67324753,,,,,10.67221487,,,,,10.69034611,,,,,10.50792705,,,,,10.659854,10.65437004,,10.80026733,,
Cuba,CUB,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.492482298,,,,,9.366029596,,,,,9.330138505,,,,,9.205190619,,,,,8.413942462,8.504392807,,10.97071849,,
Curacao,CUW,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cayman Islands,CYM,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cyprus,CYP,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.23670029,,,,,19.18456271,,,,,18.84745981,,,,,18.60967492,,,,,17.5303154,17.15678528,,16.46045931,,
Czech Republic,CZE,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.8266152,,,,,24.48052776,,,,,18.60313578,,,,,18.37133163,,,,,16.62960993,16.55507337,,16.55100847,,
Germany,DEU,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.7507189,,,,,22.75323533,,,,,17.91352975,,,,,17.42031883,,,,,15.99086547,15.7186022,,15.34586343,,
Djibouti,DJI,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.45582514,,,,,20.42803725,,,,,20.60174549,,,,,21.23325938,,,,,24.15187582,25.36705261,,28.03630333,,
Dominica,DMA,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.34870869,,,,,14.35224042,,,,,14.33948713,,,,,14.80149738,,,,,14.83828367,15.02207804,,15.39927748,,
Denmark,DNK,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.30393946,,,,,14.925539,,,,,12.47567626,,,,,11.43387272,,,,,10.61851696,10.66734526,,11.40544615,,
Dominican Republic,DOM,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.62050733,,,,,11.88638543,,,,,11.97774854,,,,,11.49825445,,,,,11.11370419,11.47256678,,12.489887,,
Algeria,DZA,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.68127691,,,,,20.64589146,,,,,20.54319302,,,,,20.13863086,,,,,19.15429188,19.16778246,,19.2635043,,
East Asia & Pacific (developing only),EAP,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.00219536,,,,,34.0674667,,,,,35.02706664,,,,,39.82575461,,,,,41.97692897,42.0130205,,42.501768,,
