Country Name,Country Code,Type,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",Electricity production from coal sources (% of total),Forest area (% of land area),Pump price for gasoline (US$ per liter),"Gross enrolment ratio, tertiary, both sexes (%)",Average precipitation in depth (mm per year),"Life expectancy at birth, total (years)",Population
Kosovo,KSV,Country,NA,98.15,NA,1.65,NA,NA,70.50,1818117
Kuwait,KWT,Country,49.13,0.00,0.35,0.23,NA,121,74.36,3593689
Latin America & Caribbean (developing only),LAC,Aggregate,13.78,5.04,54.19,1.26,37.27,NA,74.15,519419526
Lao PDR,LAO,Country,27.48,NA,78.83,1.33,16.73,1834,65.25,6579985
Lebanon,LBN,Country,23.56,0.00,13.40,1.11,46.26,661,79.85,4493438
Liberia,LBR,Country,22.72,NA,44.32,1.17,11.64,2391,60.20,4293692
Libya,LBY,Country,27.82,0.00,0.12,0.12,NA,56,71.65,6265987
St. Lucia,LCA,Country,15.61,NA,33.57,NA,10.18,2301,74.78,182305
Latin America & Caribbean (all income levels),LCN,Aggregate,13.51,5.62,46.59,1.28,43.41,NA,74.48,619487209
Least developed countries: UN classification,LDC,Aggregate,26.25,0.93,27.17,1.34,8.85,NA,62.33,910063594
Low income,LIC,Aggregate,19.67,NA,27.98,1.41,7.75,NA,60.26,605505799
Liechtenstein,LIE,Country,NA,NA,43.13,1.88,42.50,56,82.38,37040
Sri Lanka,LKA,Country,17.15,11.80,33.32,1.29,16.97,1712,74.07,20579000
Lower middle income,LMC,Aggregate,35.92,44.23,26.56,1.25,21.95,NA,66.70,2835699886
Low & middle income,LMY,Aggregate,35.43,53.49,28.05,1.29,24.84,NA,69.06,5783390976
Lesotho,LSO,Country,10.70,NA,1.52,1.24,10.83,788,48.84,2083061
Lithuania,LTU,Country,13.75,0.00,34.69,1.83,73.95,656,73.86,2957689
Luxembourg,LUX,Country,14.80,0.00,33.47,1.64,19.74,934,81.39,543360
Latvia,LVA,Country,12.02,0.03,53.95,1.8,65.13,641,73.78,2012647
"Macao SAR, China",MAC,Country,NA,NA,NA,NA,56.05,NA,80.12,568056
St. Martin (French part),MAF,Country,NA,NA,NA,NA,NA,NA,79.02,31264
Morocco,MAR,Country,17.36,43.37,12.67,1.42,NA,346,73.36,33452686
Monaco,MCO,Country,NA,NA,NA,2.23,NA,NA,NA,37528
Moldova,MDA,Country,17.06,0.00,12.03,1.42,40.11,450,68.69,3558566
Madagascar,MDG,Country,6.20,NA,21.52,1.49,4.09,1513,64.25,22924557
Maldives,MDV,Country,NA,NA,3.33,1.1,NA,1972,76.46,393000
Middle East & North Africa (all income levels),MEA,Aggregate,31.55,3.99,2.06,0.525,34.44,NA,72.69,409324396
Mexico,MEX,Country,11.93,11.68,34.11,0.86,28.99,758,76.35,123740109
Marshall Islands,MHL,Country,NA,NA,70.22,NA,42.86,560,NA,52786
Middle income,MIC,Aggregate,37.28,54.15,28.07,1.255,26.81,NA,70.07,5177885177
"Macedonia, FYR",MKD,Country,17.00,77.16,39.57,1.75,38.46,619,75.03,2072543
Mali,MLI,Country,35.93,NA,4.06,1.41,7.47,282,57.10,16592097
Malta,MLT,Country,14.09,0.00,1.09,1.92,41.21,560,80.75,423374
Myanmar,MMR,Country,28.93,7.18,46.97,1.04,13.38,2091,65.43,52983829
Middle East & North Africa (developing only),MNA,Aggregate,29.26,1.77,2.51,0.86,33.53,NA,72.14,350649177
Montenegro,MNE,Country,14.95,48.07,61.49,1.82,NA,241,74.65,621207
Mongolia,MNG,Country,8.33,94.75,8.27,1.29,58.77,241,68.61,2859174
Northern Mariana Islands,MNP,Country,NA,NA,65.20,NA,NA,NA,NA,53869
Mozambique,MOZ,Country,7.33,0.00,49.03,1.58,5.15,1032,54.21,26467180
Mauritania,MRT,Country,70.13,NA,0.23,1.43,5.14,92,62.56,3872684
Mauritius,MUS,Country,9.65,41.12,18.96,1.65,39.86,2041,73.86,1258653
Malawi,MWI,Country,9.13,NA,33.95,1.93,NA,1181,60.05,16190126
Malaysia,MYS,Country,14.40,41.51,67.42,0.62,37.20,2875,74.42,29465372
North America,NAC,Country,10.88,34.79,35.99,1.145,90.91,NA,78.99,351718031
Namibia,NAM,Country,8.32,0.91,8.67,1.24,NA,285,63.88,2346592
New Caledonia,NCL,Country,NA,NA,45.90,NA,NA,NA,77.12,262000
Niger,NER,Country,38.12,NA,0.93,1.12,1.75,151,60.07,18358863
Nigeria,NGA,Country,29.51,0.00,9.03,0.62,NA,1150,52.11,172816517
Nicaragua,NIC,Country,6.98,0.00,25.88,1.23,NA,2280,74.21,5945646
Netherlands,NLD,Country,16.84,26.64,11.10,2.33,77.34,778,81.10,16804432
High income: nonOECD,NOC,Aggregate,19.25,13.79,38.64,NA,68.29,NA,73.63,326137349
Norway,NOR,Country,6.04,0.11,33.14,2.53,74.10,1414,81.45,5079623
Nepal,NPL,Country,46.09,0.00,25.36,1.44,NA,1500,68.82,27834981
