code,name,agri,forest,year
MDA,Moldova,74.1,11.74,2023
MDG,Madagascar,70.29,21.3,2023
MDV,Maldives,19.8,2.75,2023
MEX,Mexico,50.69,33.6,2023
MHL,Marshall Islands,38.89,52.22,2023
MKD,North Macedonia,49.6,39.71,2023
MLI,Mali,35.47,10.9,2023
MLT,Malta,25.91,1.44,2023
MMR,Myanmar,19.91,42.4,2023
MNE,Montenegro,19.59,61.49,2023
MNG,Mongolia,68.96,9.09,2023
MNP,Northern Mariana Islands,1.17,52.96,2023
MOZ,Mozambique,52.79,45.81,2023
MRT,Mauritania,38.53,0.29,2023
MUS,Mauritius,43.04,19.47,2023
MWI,Malawi,64.17,22.44,2023
MYS,Malaysia,26.09,57.72,2023
NAM,Namibia,47.14,7.81,2023
NCL,New Caledonia,10.07,45.83,2023
NER,Niger,36.79,0.82,2023
NGA,Nigeria,76.2,23.21,2023
NIC,Nicaragua,42.31,25.82,2023
NLD,Netherlands,53.55,11.06,2023
NOR,Norway,2.7,33.5,2023
NPL,Nepal,26.12,41.59,2023
NRU,Naoero,20,0,2023
NZL,New Zealand,36.88,37.79,2023
OMN,Oman,4.76,0.01,2023
PAK,Pakistan,46.69,4.67,2023
PAN,Panama,29.52,56.34,2023
PER,Peru,19.05,56.1,2023
PHL,Philippines,42.67,24.46,2023
PLW,Palau,9.35,90.54,2023
PNG,Papua New Guinea,3.1,78.95,2023
POL,Poland,47.61,31.08,2023
PRI,Puerto Rico (US),19.04,56.12,2023
PRK,"Korea, Dem. People's Rep.",21.55,49.55,2023
PRT,Portugal,43.34,36.15,2023
PRY,Paraguay,54.11,38.54,2023
PSE,West Bank and Gaza,64.93,1.68,2023
PYF,French Polynesia,8.66,43.06,2023
QAT,Qatar,6.44,0,2023
ROU,Romania,55.26,30.12,2023
RUS,Russian Federation,13.17,49.78,2023
RWA,Rwanda,76.33,11.31,2023
SAU,Saudi Arabia,80.77,0.45,2023
SDN,Sudan,60.31,9.55,2023
SEN,Senegal,49.4,41.28,2023
SGP,Singapore,0.92,20.93,2023
SLB,Solomon Islands,3.9,90.06,2023
SLE,Sierra Leone,54.71,34.3,2023
SLV,El Salvador,57.71,27.53,2023
SMR,San Marino,38.33,16.67,2023
SOM,"Somalia, Fed. Rep.",70.34,9.17,2023
SRB,Serbia,40.39,32.39,2023
SSD,South Sudan,44.86,11.33,2023
STP,Sao Tome and Principe,44.79,52.13,2023
SUR,Suriname,0.45,94.45,2023
SVK,Slovak Republic,37.96,40.06,2023
SVN,Slovenia,30.36,61.17,2023
SWE,Sweden,7.32,68.7,2023
